bagId;aansluiting;status;datum
0014100010951085;Elektriciteit;Aanvraag goedgekeurd;27-7-2023 16:11:00
0014100010951085;Warmte;Aanvraag goedgekeurd;27-7-2023 16:11:00
0014100010951497;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:02
0014100010951497;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:02
0014100010951561;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:00
0014100010951561;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:00
0014100010951618;Elektriciteit;Aanvraag goedgekeurd;31-7-2023 12:41:46
0014100010951618;Warmte;Aanvraag goedgekeurd;31-7-2023 12:41:46
0014100010951742;Warmte;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010951742;Elektriciteit;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010951793;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:16
0014100010951793;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:16
0014100010952223;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:34
0014100010952223;Warmte;Aanvraag ontvangen;11-5-2023 11:32:34
0014100010952730;Warmte;Aanvraag goedgekeurd;16-8-2023 11:23:34
0014100010952849;Warmte;Aanvraag goedgekeurd;11-8-2023 15:56:47
0014100010952849;Elektriciteit;Aanvraag goedgekeurd;11-8-2023 15:56:47
0014100010954166;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:09
0014100010954166;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:09
0014100010955894;Elektriciteit;Aanvraag goedgekeurd;25-7-2023 10:03:08
0014100010955894;Warmte;Aanvraag goedgekeurd;25-7-2023 10:03:08
0014100010955897;Warmte;Aanvraag goedgekeurd;19-7-2023 10:33:52
0014100010955897;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:52
0014100010955918;Elektriciteit;Aanvraag goedgekeurd;27-7-2023 15:50:59
0014100010955918;Warmte;Aanvraag goedgekeurd;27-7-2023 15:50:59
0014100010955973;Warmte;Aanvraag goedgekeurd;2-8-2023 10:31:50
0014100010955973;Elektriciteit;Aanvraag goedgekeurd;2-8-2023 10:31:50
0014100010956067;Warmte;Aanvraag goedgekeurd;14-8-2023 15:47:39
0014100010956067;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 15:47:39
0014100010956102;Warmte;Aanvraag goedgekeurd;4-8-2023 11:01:52
0014100010956102;Elektriciteit;Aanvraag goedgekeurd;4-8-2023 11:01:52
0014100010956422;Elektriciteit;Aanvraag goedgekeurd;24-7-2023 12:38:08
0014100010956422;Warmte;Aanvraag goedgekeurd;24-7-2023 12:38:08
0014100010956481;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:13
0014100010956481;Warmte;Aanvraag goedgekeurd;31-7-2023 13:41:53
0014100010956703;Elektriciteit;Aanvraag ontvangen;17-5-2023 14:37:36
0014100010956703;Warmte;Aanvraag ontvangen;17-5-2023 14:37:36
0014100010956703;Elektriciteit;Aanvraag goedgekeurd;18-8-2023 08:33:34
0014100010956703;Warmte;Aanvraag goedgekeurd;18-8-2023 08:33:34
0014100010958211;Elektriciteit;Aanvraag goedgekeurd;18-7-2023 10:33:55
0014100010958211;Warmte;Aanvraag goedgekeurd;18-7-2023 10:33:55
0014100010958603;Elektriciteit;Aanvraag goedgekeurd;28-7-2023 08:30:50
0014100010958603;Warmte;Aanvraag goedgekeurd;28-7-2023 08:30:50
0014100010958699;Warmte;Aanvraag ontvangen;15-6-2023 14:13:44
0014100010958776;Warmte;Aanvraag ontvangen;4-5-2023 15:14:52
0014100010958776;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:52
0014100010958776;Warmte;Aanvraag goedgekeurd;31-7-2023 15:21:47
0014100010958776;Elektriciteit;Aanvraag goedgekeurd;31-7-2023 15:21:47
0014100010958803;Elektriciteit;Aanvraag goedgekeurd;31-7-2023 11:10:54
0014100010958803;Warmte;Aanvraag goedgekeurd;31-7-2023 11:10:54
0014100010958847;Warmte;Aanvraag ontvangen;1-6-2023 10:37:47
0014100010958847;Elektriciteit;Aanvraag ontvangen;1-6-2023 10:37:47
0014100010958944;Elektriciteit;Aanvraag ontvangen;15-6-2023 14:13:44
0014100010958944;Warmte;Aanvraag ontvangen;15-6-2023 14:13:44
0014100010958968;Elektriciteit;Aanvraag ontvangen;1-6-2023 10:37:51
0014100010959045;Elektriciteit;Aanvraag goedgekeurd;4-8-2023 16:21:50
0014100010980993;Warmte;Aanvraag goedgekeurd;27-7-2023 12:03:12
0014100010980993;Elektriciteit;Aanvraag goedgekeurd;27-7-2023 12:03:12
0014100022186477;Elektriciteit;Aanvraag goedgekeurd;20-7-2023 10:29:02
0014100022186477;Warmte;Aanvraag goedgekeurd;20-7-2023 10:29:02
0014100022187739;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:15:04
0014100022187739;Warmte;Aanvraag ontvangen;4-5-2023 15:15:04
0014100022187739;Elektriciteit;Aanvraag ontvangen;24-5-2023 09:09:44
0014100022187739;Warmte;Aanvraag ontvangen;24-5-2023 09:09:44
0014100022187742;Elektriciteit;Aanvraag goedgekeurd;18-7-2023 10:33:58
0014100022187742;Warmte;Aanvraag goedgekeurd;18-7-2023 10:33:58
0014100022189695;Elektriciteit;Aanvraag goedgekeurd;25-7-2023 15:53:12
0014100022190030;Warmte;Aanvraag goedgekeurd;17-7-2023 11:03:55
0014100022190030;Elektriciteit;Aanvraag goedgekeurd;17-7-2023 11:03:55
0014100022190967;Warmte;Aanvraag ontvangen;8-6-2023 08:02:30
0014100022190967;Elektriciteit;Aanvraag ontvangen;8-6-2023 08:02:30
0014100022192178;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:42
0014100022192178;Warmte;Aanvraag ontvangen;11-5-2023 11:32:42
0017100000000838;Warmte;Aanvraag ontvangen;22-6-2023 08:44:47
0017100000000934;Warmte;Aanvraag goedgekeurd;4-8-2023 10:51:49
0017100000005546;Warmte;Aanvraag goedgekeurd;21-8-2023 09:03:33
0017100000006778;Warmte;Aanvraag goedgekeurd;21-7-2023 10:28:04
0017100000006778;Elektriciteit;Aanvraag goedgekeurd;21-7-2023 10:28:04
0017100000007350;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:52
0018100000004232;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:41
0018100000004232;Warmte;Aanvraag ontvangen;11-5-2023 11:32:41
0018100000103338;Warmte;Aanvraag ontvangen;15-6-2023 14:13:43
0018100000123364;Elektriciteit;Aanvraag goedgekeurd;18-8-2023 08:33:36
0018100000123364;Warmte;Aanvraag goedgekeurd;18-8-2023 08:33:36
0022100000000091;Elektriciteit;Aanvraag ontvangen;8-6-2023 08:02:29
0022100000000091;Warmte;Aanvraag ontvangen;8-6-2023 08:02:29
0022100000000981;Elektriciteit;Aanvraag ontvangen;8-6-2023 08:02:29
0022100000000981;Warmte;Aanvraag ontvangen;8-6-2023 08:02:29
0022100000003625;Warmte;Aanvraag ontvangen;11-5-2023 11:32:39
0022100000003625;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:39
0024100000145263;Elektriciteit;Aanvraag goedgekeurd;31-7-2023 13:31:49
0024100000145263;Warmte;Aanvraag goedgekeurd;31-7-2023 13:31:49
0025100000003007;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:36
0025100000003007;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0025100000003007;Warmte;Aanvraag goedgekeurd;3-8-2023 11:11:56
0025100000003007;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 11:11:56
0025100000006025;Warmte;Aanvraag ontvangen;22-6-2023 08:44:45
0025100000006220;Warmte;Aanvraag goedgekeurd;22-8-2023 15:23:49
0025100000006220;Elektriciteit;Aanvraag goedgekeurd;22-8-2023 15:23:49
0034100000045941;Elektriciteit;Aanvraag ontvangen;15-6-2023 14:13:45
0034100000045941;Warmte;Aanvraag ontvangen;15-6-2023 14:13:45
0034100000045941;Warmte;Aanvraag ontvangen;15-6-2023 14:13:45
0034100000045941;Elektriciteit;Aanvraag ontvangen;15-6-2023 14:13:45
0034100000046708;Elektriciteit;Aanvraag goedgekeurd;25-8-2023 13:54:06
0034100000046708;Warmte;Aanvraag goedgekeurd;25-8-2023 13:54:06
0034100000046708;Elektriciteit;Aanvraag goedgekeurd;25-8-2023 13:54:06
0034100000046708;Warmte;Aanvraag goedgekeurd;25-8-2023 13:54:06
0034100000058271;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 16:01:53
0034100000058271;Warmte;Aanvraag goedgekeurd;3-8-2023 16:01:53
0034100000063498;Warmte;Aanvraag goedgekeurd;24-7-2023 12:38:07
0034100000107880;Warmte;Aanvraag goedgekeurd;24-8-2023 10:48:41
0034100000110715;Warmte;Aanvraag ontvangen;4-5-2023 15:15:06
